invoiceKey,truthPartNumber,scorerTopPartNumber,agree,scorerScore,scorerBand,scorerMatchedOn
accounting:441,BLUE-IR-10,BLUE-IR-10,yes,45,MEDIUM-ish,amount~avans data avans (0d)
accounting:444,RED-PEN-S-G-1,RED-C-M-MM-16,no,30,MEDIUM-ish,amount~final
accounting:445,RED-PEN-S-G-1,BLUE-MDR-C-60,no,34,MEDIUM-ish,amount~final data final (214d)
accounting:446,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,34,MEDIUM-ish,amount~final data final (340d)
accounting:448,BLUE-IR-10,BLUE-IR-10,yes,45,MEDIUM-ish,amount~avans data avans (18d)
accounting:449,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,51,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 449,RED-PEN-S-G-1,RED-C-M-MM-16,no,30,MEDIUM-ish,amount~final
accounting:BT.BIT 450,RED-PEN-S-G-1,BLUE-MDR-C-60,no,34,MEDIUM-ish,amount~final data final (243d)
accounting:BT.BIT 451,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,31,MEDIUM-ish,amount~final
accounting:BT.BIT 455,RED-PEN-S-G-1,BLUE-MDR-C-60,no,34,MEDIUM-ish,amount~final data final (265d)
accounting:BT.BIT 456,RED-PEN-S-G-1,RED-C-M-MM-16,no,30,MEDIUM-ish,amount~final
accounting:BT.BIT 457,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,31,MEDIUM-ish,amount~final
accounting:BT.BIT 461,RED-VA-I-P-10,RED-VA-I-P-10,yes,47,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 462,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,45,MEDIUM-ish,amount~avans data final (0d)
accounting:BT.BIT 463,RED-PEN-S-G-1,BLUE-MDR-C-100,no,46,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 464,RED-PEN-S-G-1,RED-C-M-MM-16,no,30,MEDIUM-ish,amount~final
accounting:BT.BIT 465,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,31,MEDIUM-ish,amount~final
accounting:BT.BIT 469,RED-PEN-S-G-1,RED-C-M-MM-16,no,30,MEDIUM-ish,amount~final
accounting:BT.BIT 470,RED-PEN-S-G-1,BLUE-MDR-C-100,no,46,MEDIUM-ish,amount~final data final (23d)
accounting:BT.BIT 471,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,31,MEDIUM-ish,amount~final
