organization,partNumber,trackerRow,milestone,expectedDate,dateSource,trackerAmount,contractRef,accountingStatus,trackerFacturatFlag,flagDiscrepancy,matchedInvoiceNumber,matchedInvoiceSource,matchedInvoiceDate,dateGapDays
ASSET TOKENIZATION SERVICES OU,RED-PEN-S-WB-1,30,final,2021-09-16,estimated,6188.00,199/02.08.2021,PAST_UNMATCHED,Nu,,,,,
SC ASSIST Software SRL,CYBEREDU-DEV-T-1,186,avans,2022-04-05,actual,900.00,107/22.03.2022,INVOICED_ACCOUNTING,Da,,B.CYB 3,ron,2022-04-05,0
SC ASSIST Software SRL,CYBEREDU-DEV-T-1,186,final,2023-02-10,actual,300.00,107/22.03.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1030,avans,2024-06-20,estimated,2000.00,No. 290/24.04.2024,INVOICED_ACCOUNTING,N/A,TRACKER_FLAG_STALE_NOT_BILLED,BT.BIT 202,valuta,2024-08-07,48
AstorMueller AG,BLUE-IR-OC-6,1030,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 202,valuta,2024-08-07,0
AstorMueller AG,BLUE-IR-OC-6,1031,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 202,valuta,2024-08-07,0
AstorMueller AG,BLUE-IR-OC-6,1032,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1033,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1034,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1035,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1036,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1037,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1038,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1039,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1040,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1041,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1042,final,2025-05-06,actual,16920.00,No. 290/24.04.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 235,valuta,2025-05-07,1
AstorMueller AG,BLUE-IR-OC-6,1043,final,2026-05-05,actual,16920.00,No. 290/24.04.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 201,valuta,2026-05-05,0
BANCA COMERCIALA ROMANA S.A,RED-PEN-S-B-11,787,final,2023-11-02,actual,15664.00,4048766,INVOICED_ACCOUNTING,Da,,BT.BIT 553,ron,2023-11-02,0
BANCA COMERCIALA ROMANA S.A,RED-PEN-S-B-11,788,final,2023-12-12,actual,5500.00,4048766,INVOICED_ACCOUNTING,Da,,BT.BIT 567,ron,2023-12-11,1
BANCA COMERCIALA ROMANA S.A,RED-PEN-S-B-11,789,final,2024-06-06,actual,24200.00,PO 6000010413,INVOICED_ACCOUNTING,Da,,BT.BIT 649,ron,2024-06-06,0
BIT SENTINEL SECURITY SRL,CYBEREDU-OP-U-5,868,final,2023-07-31,actual,295100.00,261/28.03.2023,INVOICED_ACCOUNTING,Da,,B.CYB 11,ron,2023-07-31,0
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,468,final,0202-05-03,actual,450.00,222/03.05.2022,INVOICED_ACCOUNTING,Da,,BT.BIT 343,ron,2022-05-03,664742
CAPITAL FINANCIAL SERVICES SA,RED-VA-I-S-100,466,final,2022-08-03,actual,2000.00,222/03.05.2022,INVOICED_ACCOUNTING,Da,,BT.BIT 376,ron,2022-08-03,0
CAPITAL FINANCIAL SERVICES SA,RED-PEN-B-I-B-100,467,final,2022-08-03,actual,7500.00,222/03.05.2022,INVOICED_ACCOUNTING,Da,,BT.BIT 376,ron,2022-08-03,0
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,469,final,2022-08-03,actual,450.00,222/03.05.2022,INVOICED_ACCOUNTING,Da,,BT.BIT 376,ron,2022-08-03,0
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,470,final,2022-11-23,actual,450.00,222/03.05.2022,INVOICED_ACCOUNTING,Da,,415,ron,2022-11-23,0
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,471,final,2022-11-23,actual,450.00,222/03.05.2022,INVOICED_ACCOUNTING,Da,,415,ron,2022-11-23,0
CAPITAL FINANCIAL SERVICES SA,RED-VA-I-S-100,472,final,2023-07-04,actual,2000.00,262/05.04.2023,INVOICED_ACCOUNTING,Da,,BT.BIT 501,ron,2023-07-04,0
CAPITAL FINANCIAL SERVICES SA,RED-PEN-B-I-B-100,473,final,2023-07-04,actual,9700.00,262/05.04.2023,INVOICED_ACCOUNTING,Da,,BT.BIT 502,ron,2023-07-04,0
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,474,final,2023-07-04,actual,600.00,262/05.04.2023,INVOICED_ACCOUNTING,Da,,BT.BIT 503,ron,2023-07-04,0
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,475,final,2023-07-04,actual,600.00,262/05.04.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,476,final,2023-09-01,estimated,600.00,262/05.04.2023,INVOICED_ACCOUNTING,Da,,BT.BIT 712,ron,2024-09-16,381
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,479,final,2023-10-12,estimated,600.00,nr 1 12.10.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,477,final,2023-11-01,actual,600.00,262/05.04.2023,INVOICED_ACCOUNTING,Da,,BT.BIT 552,ron,2023-11-01,0
CAPITAL FINANCIAL SERVICES SA,RED-PEN-B-E,478,final,2023-11-01,actual,6200.00,nr 1 12.10.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CAPITAL FINANCIAL SERVICES SA,RED-VA-E-B-100,480,final,2024-09-01,actual,10000.00,nr 2 09.08.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
CARMA,RED-PEN-B-E-B-10,1262,final,2026-01-13,actual,4400.00,13.01.2026,INVOICED_ACCOUNTING,Da,,BT.R.BIT 86,valuta,2026-01-13,0
CARREFOUR BANQUE,RED-PEN-B-E-B-25,1260,final,2025-04-03,actual,11000.00,3.4.2025,INVOICED_ACCOUNTING,Da,,BT.BIT 231,valuta,2025-04-03,0
CARREFOUR BANQUE,RED-PEN-B-E-B-45,1261,final,2026-04-02,actual,19800.00,17.03.2026,INVOICED_ACCOUNTING,Da,,BT.BIT 197,valuta,2026-04-02,0
Carrefour Belgium,RED-PEN-B-E-B-30,1554,final,2025-11-28,actual,13200.00,FRAMEWORK AGREEMENT for the provision of Services,INVOICED_ACCOUNTING,Da,,BT.R.BIT 59,valuta,2025-11-28,0
Carrefour Global Sourcing Asia Limited,RED-PEN-B-E-B-5,1254,final,2025-11-24,actual,2200.00,5.11.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 262,valuta,2025-11-24,0
